id,상품명,포화지방(g),당류(g),나트륨(mg),단백질(g),카페인(mg),칼로리(kcal)
mg-099,딸기요거트스무디,2.2,58.5,53.2,6.4,0,401.4
mg-100,딸기퐁크러쉬,7.1,45.9,156.1,10.9,0,536.9
mg-101,리얼초코프라페,23.8,58,191.7,7.8,34.8,651.1
mg-102,망고요거트스무디,3.2,41.1,57.2,6.2,0,374.9
mg-103,민트프라페,15.8,53.7,101.7,5.6,19,511.7
mg-104,바나나퐁크러쉬,4.6,64.2,167.3,10.8,0,593.8
mg-105,스트로베리치즈홀릭,12.2,53.7,98.1,6.9,0,502.4
mg-106,초코허니퐁크러쉬,5.1,44.9,157.2,10.9,12.4,506.2
mg-107,커피프라페,11.4,28.9,135.8,6.4,123.3,420.4
mg-108,플레인요거트스무디,2.9,68.4,71.6,8.4,0,516.5
mg-109,슈크림허니퐁크러쉬,7.8,49.5,198.4,11.7,0,568.1
mg-110,플레인퐁크러쉬,6,46.2,154.8,10.6,0,468.6
mg-111,라임모히또,0,45.8,5.6,0.5,0,278.6
mg-112,레몬에이드,0,35.1,71.3,0.3,0,196.8
mg-113,블루레몬에이드,0,36.5,77.2,0.2,0,225
mg-114,자몽에이드,0,40.7,3.3,0.3,0,203.8
mg-115,청포도에이드,0,57.6,5.9,0.2,0,305.4
mg-116,유니콘매직에이드(핑크),0,41,138,0.3,0,219.9
mg-117,유니콘매직에이드(블루),0,48.6,16.7,0.1,0,275.5
mg-118,체리콕,0,55.6,5.4,0.2,23.9,323.6
mg-119,메가에이드,0,53.9,9.1,0.3,0,292.4
mg-120,녹차,0,0,4.2,0.2,65.3,0.7
mg-121,사과유자차,0,47,89.3,0.3,0,227.1
mg-122,얼그레이,0,0,4.2,0.2,73.4,0.7
mg-123,캐모마일,0,0,5.5,0,0,0.5
mg-124,페퍼민트,0,0,5.3,0,0,0.2
mg-125,녹차,0,0,2.1,0.3,78.5,1
mg-126,사과유자차,0,37.5,74.5,0.3,0,242.2
